epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,5677.86,1.10436,1.34658,0.64695,0.87815,0.75453,0.65268,0.71717,0.42892,0.74828,0.64468,0.71921,0.3958,1.43866,1.94543,0.95009,0.98023,0.000785938,0.000785938,0.000785938
77,5750.51,1.08356,1.33082,0.6374,0.8844,0.75313,0.64869,0.71982,0.42693,0.86125,0.59319,0.72079,0.39478,1.44758,1.97886,0.93454,0.98364,0.00077975,0.00077975,0.00077975
78,5820.46,1.11096,1.34005,0.65045,0.90005,0.80083,0.62472,0.71616,0.4229,0.79301,0.61513,0.71192,0.39012,1.45266,1.99797,0.93186,0.98656,0.000773563,0.000773563,0.000773563
79,5894.23,1.11848,1.38893,0.65071,0.88586,0.80083,0.62472,0.71616,0.4229,0.79301,0.61513,0.71192,0.39012,1.45266,1.99797,0.93186,0.98656,0.000767375,0.000767375,0.000767375
80,5968.71,1.08463,1.3543,0.63429,0.87774,0.75988,0.63323,0.70697,0.41596,0.75715,0.63132,0.70672,0.38559,1.45027,1.94734,0.94529,0.98806,0.000761188,0.000761188,0.000761188
81,6043.82,1.07131,1.34119,0.63222,0.8793,0.75284,0.62834,0.70031,0.41238,0.75573,0.62104,0.70047,0.38,1.45402,1.95486,0.96063,0.98911,0.000755,0.000755,0.000755
82,6117.26,1.09055,1.34259,0.64363,0.88572,0.76862,0.64595,0.71618,0.41682,0.76496,0.63523,0.70586,0.37049,1.47215,2.04868,0.95301,0.99279,0.000748813,0.000748813,0.000748813
83,6194.33,1.087,1.34063,0.63101,0.87218,0.76829,0.6543,0.72603,0.42792,0.74471,0.6512,0.71572,0.38279,1.45772,2.03485,0.94817,0.98679,0.000742625,0.000742625,0.000742625
84,6268.29,1.09413,1.35652,0.64645,0.87831,0.76829,0.6543,0.72603,0.42792,0.74471,0.6512,0.71572,0.38279,1.45772,2.03485,0.94817,0.98679,0.000736438,0.000736438,0.000736438
85,6343.04,1.09758,1.33845,0.63599,0.87725,0.75599,0.66667,0.74131,0.44817,0.78151,0.63469,0.73659,0.40801,1.42665,1.96364,0.92395,0.97816,0.00073025,0.00073025,0.00073025
